cite1,cite2,n
"Stout, W, 1996, APPL PSYCH MEAS, V20, P331, DOI 10.1177/014662169602000403","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",31
"Baker, FB, 2004, ITEM RESPONSE THEORY","Birnbaum, A, 2008, STAT THEORIES MENTAL, P17",30
"Bentler, PM, 2015, EQS","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",30
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Embretson, SE, 2000, ITEM RESONSE THEORY",30
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Hambleton, RK, 2000, ITEM RESPONE THEORY",30
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",30
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",30
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",30
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",30
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X",30
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",30
"Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X","Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X",30
"Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",30
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",30
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",30
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",30
"Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",30
"Roussos, LA, 1998, J EDUC MEAS, V35, P1, DOI 10.1111/J.1745-3984.1998.TB00525.X","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",30
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",30
"Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",30
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Birnbaum, A, 2008, STAT THEORIES MENTAL, P17",29
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Wright, BD, 1982, RATING SCALE ANAL",29
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",29
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X",29
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",29
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446",29
"Embretson, SE, 2000, ITEM RESONSE THEORY","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",29
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2",29
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",29
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",29
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Mantel, N, 1959, J NATL CANCER I, V22, P719",29
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",29
"Mcdonald, RP, 1999, TEST THEORY UNIFED A","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",29
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","Wright, BD, 1982, RATING SCALE ANAL",29
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Thissen, D, 1988, TEST VALIDITY, P147",29
"Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",29
"Thissen, D, 1988, TEST VALIDITY, P147","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",29
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",28
"Camilli, G, 1994, METHODS IDENTIFFING","Mantel, N, 1959, J NATL CANCER I, V22, P719",28
"Camilli, G, 1994, METHODS IDENTIFFING","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",28
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",28
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",28
"Embretson, SE, 2000, ITEM RESONSE THEORY","Rasch, GEORG, 1993, PROBABILISITIC MODEL",28
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",28
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X",28
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",28
"Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",28
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",28
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099",28
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",28
"Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595","Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957",28
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","R Development Core, TEAM, 2017, LANG ENV STAT COMP",28
"SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",28
"Thissen, D, 1988, TEST VALIDITY, P147","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",28
"Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",27
"Camilli, G, 1994, METHODS IDENTIFFING","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",27
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Hartz, SM, 2002, THESIS",27
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",27
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",27
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745",27
"Embretson, SE, 2000, ITEM RESONSE THEORY","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",27
"Embretson, SE, 2000, ITEM RESONSE THEORY","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",27
"Gelfand, AE, 1990, J AM STAT ASSOC, V85, P398, DOI 10.2307/2289776","Geman, S, 1984, IEEE T PATTERN ANAL, V6, P721, DOI 10.1109/TPAMI.1984.4767596",27
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Kolen, MJ, 2014, TEST EQUATING LINKIN",27
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",27
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",27
"Linacre, JM, 1994, MANY FACET RASCH MEA","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",27
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",27
"Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957","van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446",27
"Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821","Stout, W, 1996, APPL PSYCH MEAS, V20, P331, DOI 10.1177/014662169602000403",27
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",26
"Bentler, PM, 1980, PSYCHOL BULL, V88, P588, DOI 10.1037/0033-2909.107.2.238","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",26
"Bentler, PM, 2015, EQS","Bollen, KA, 2014, STRUCRURAL EQUATIONS",26
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Bock, RD, 1972, PSYCHOMETRIKA, V37, P29",26
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","R Development Core, TEAM, 2017, LANG ENV STAT COMP",26
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405",26
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Mcdonald, RP, 1999, TEST THEORY UNIFED A",26
"Byrne, BM, 2013, STRUCTURAL EQUATING","Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034",26
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",26
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474",26
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",26
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",26
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",26
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",26
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Kolen, MJ, 2014, TEST EQUATING LINKIN",26
"Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",26
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",26
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Wright, BD, 1982, RATING SCALE ANAL",26
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",26
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",26
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",25
"Camilli, G, 1994, METHODS IDENTIFFING","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",25
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034",25
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",25
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",25
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",25
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",25
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",25
"Embretson, SE, 2000, ITEM RESONSE THEORY","Hambleton, RK, 2000, ITEM RESPONE THEORY",25
"Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",25
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Zieky, M, 1993, DIFFERENTIAL ITEM FU, P337",25
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",25
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",25
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",25
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",25
"Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",25
"Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",25
"Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343","Veldkamp, BP, 2002, PSYCHOMETRIKA, V67, P575, DOI 10.1007/BF02295132",25
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Bock, RD, 1972, PSYCHOMETRIKA, V37, P29",24
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Embretson, SE, 2000, ITEM RESONSE THEORY",24
"Baker, FB, 2004, ITEM RESPONSE THEORY","Embretson, SE, 2000, ITEM RESONSE THEORY",24
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393",24
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285",24
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",24
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",24
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Rasch, GEORG, 1993, PROBABILISITIC MODEL",24
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",24
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Hartz, SM, 2002, THESIS",24
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Mantel, N, 1959, J NATL CANCER I, V22, P719",24
"Embretson, SE, 2000, ITEM RESONSE THEORY","Hambleton, RK, 1995, FUNAMENTALS ITEM RES",24
"Gelman, A, 2014, AYESIAN DATA ANAL","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",24
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",24
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",24
"Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957","Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745",24
"Nandakumar, R, 1993, J EDUC STAT, V18, P41, DOI 10.3102/10769986018001041","Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821",24
"Nandakumar, R, 1993, J EDUC STAT, V18, P41, DOI 10.3102/10769986018001041","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",24
"Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",24
"Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",24
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",24
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",24
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195",23
"Baker, FB, 2004, ITEM RESPONSE THEORY","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",23
"Bentler, PM, 1990, PSYCHOL BULL, V107, P238, DOI 10.1037/0033-2909.107.2.238","Bollen, KA, 2014, STRUCRURAL EQUATIONS",23
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","R Core, TEAM, 2019, LANG ENV STAT COMP",23
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Gelman, A, 2014, AYESIAN DATA ANAL",23
"Byrne, BM, 2013, STRUCTURAL EQUATING","Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5",23
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",23
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",23
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",23
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",23
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",23
"Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",23
"Gelman, A, 2014, AYESIAN DATA ANAL","Geman, S, 1984, IEEE T PATTERN ANAL, V6, P721, DOI 10.1109/TPAMI.1984.4767596",23
"Gelman, A, 2014, AYESIAN DATA ANAL","Lord, FM, 2008, STAT THEORIES MENT",23
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001",23
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Lord, FM, 2008, STAT THEORIES MENT",23
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",23
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",23
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Zumbo, BD, 1999, HDB THEORY METHODS D",23
"Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393","Mcdonald, RP, 1999, TEST THEORY UNIFED A",23
"Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",23
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",23
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",23
"Mulder, J, 2009, PSYCHOMETRIKA, V74, P273, DOI 10.1007/S11336-008-9097-5","Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343",23
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",23
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Thissen, D, 1988, TEST VALIDITY, P147",23
"Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1","Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343",23
"Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",23
"Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",23
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",23
